"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4032","Register a new user and login as the new user","chromium","2026-09-23","passed","2026-09-23","","ClientApp.spec.js","",""
"","30352","Test 1 - Banner IS visible when 6 events are returned","chromium","2026-09-23","broken","2026-09-23","","Assignments/Assignment3.spec.js","",""
"","30066","Test 2 - Group ticket booking is NOT eligible for refund","chromium","2026-09-23","broken","2026-09-23","","Assignments/RefundEligibilityCheck.spec.js","",""
"","3220","Web API test: Intercepting the network payload","chromium","2026-09-23","passed","2026-09-23","","NetworkTest.spec.js","",""
"","30062","Test 1 - Single ticket booking is eligible for refund","chromium","2026-09-23","broken","2026-09-23","","Assignments/RefundEligibilityCheck.spec.js","",""
"","30037","Implementing Page Object Model for the End to end flow test: custom fixtures","chromium","2026-09-23","broken","2026-09-23","","ClientAppPO.spec.js","",""
"","13920","Implementing Page Object Model for the End to end flow test: iphone 13 pro","chromium","2026-09-23","passed","2026-09-23","","ClientAppPO.spec.js","",""
"","5788","Popup validation","chromium","2026-09-23","passed","2026-09-23","","Morevalidations.spec.js","",""
"","4070","Screenshots and visual comparisons","chromium","2026-09-23","passed","2026-09-23","","Morevalidations.spec.js","",""
"","12176","End to End test: Logging into the application, adding an item to the cart, checking out, getting the order number and checking the order appears in the list of orders","chromium","2026-09-23","passed","2026-09-23","","EndToEnd.spec.js","",""
"","30114","Test 2 - Banner is NOT visible when 4 events are returned","chromium","2026-09-23","broken","2026-09-23","","Assignments/Assignment3.spec.js","",""
"","30048","Fixtures demo","chromium","2026-09-23","broken","2026-09-23","","FixturesDemo.spec.js","",""
"","5233","Testing Login to Rahul Shetty Academy","chromium","2026-09-23","passed","2026-09-23","","firstTest.spec.js","",""
"","1847","Testing Login to Rahul Shetty Academy with Invalid Credentials","chromium","2026-09-23","passed","2026-09-23","","firstTest.spec.js","",""
"","6160","Security Test request intercepting the request","chromium","2026-09-23","passed","2026-09-23","","NetworkTest2.spec.js","",""
"","30014","End to End test using Get By Locators","chromium","2026-09-23","broken","2026-09-23","","GetByLocators.spec.js","",""
"","30069","Assignment: Full booking event Flow","chromium","2026-09-23","broken","2026-09-23","","Assignments/FullBookingFlow.spec.js","",""
"","12578","Implementing Page Object Model for the End to end flow test: ZARA COAT 3","chromium","2026-09-23","passed","2026-09-23","","ClientAppPO.spec.js","",""
"","3513","Child Window/Tab handling","chromium","2026-09-23","passed","2026-09-23","","UIBasics.spec.js","",""
"","3395","Web API test: Verify order appears in the list of orders","chromium","2026-09-23","passed","2026-09-23","","WebAPI.spec.js","",""
"","640","Visual Testing","chromium","2026-09-23","failed","2026-09-23","","Morevalidations.spec.js","",""
"","761","Cross User booking Access Denied","chromium","2026-09-23","failed","2026-09-23","","Assignments/Assigment4.spec.js","",""
"","2884","Get by locators: Using locators to get elements on the page","chromium","2026-09-23","passed","2026-09-23","","GetByLocators.spec.js","",""
"","2696","Web API test2","chromium","2026-09-23","failed","2026-09-23","","WebAPI2.spec.js","",""
"","472","First Test","chromium","2026-09-23","passed","2026-09-23","","firstTest.spec.js","",""
